1	0.000209	0.000163	108804	90000	88804
1	0.000081	0.000063	80100	80000	50000
2	0.000700	0.000546	264036	250000	244036
2	0.000063	0.000049	80100	80000	50000
3	0.001131	0.000882	493344	490000	473344
3	0.000076	0.000059	80100	80000	50000
4	0.002034	0.001586	794400	810000	774400
4	0.000072	0.000056	80100	80000	50000
5	0.002402	0.001873	1164900	1210000	1144900
5	0.000072	0.000056	80100	80000	50000
6	0.003321	0.002590	1602564	1690000	1582564
6	0.000071	0.000056	80100	80000	50000
7	0.004849	0.003782	2105136	2250000	2085136
7	0.000072	0.000056	80100	80000	50000
8	0.006440	0.005023	2670384	2890000	2650384
8	0.000070	0.000054	80100	80000	50000
9	0.008213	0.006405	3296100	3610000	3276100
9	0.000072	0.000056	80100	80000	50000
10	0.009620	0.007503	3980100	4410000	3960100
10	0.000069	0.000054	80100	80000	50000
11	0.011231	0.008759	4720224	5290000	4700224
11	0.000070	0.000055	80100	80000	50000
12	0.013216	0.010307	5514336	6250000	5494336
12	0.000073	0.000057	80100	80000	50000
13	0.015230	0.011878	6360324	7290000	6340324
13	0.000073	0.000057	80100	80000	50000
14	0.017600	0.013727	7256100	8410000	7236100
14	0.000071	0.000055	80100	80000	50000
15	0.019500	0.015209	8199600	9610000	8179600
15	0.000069	0.000054	80100	80000	50000
16	0.022110	0.017244	9188784	10890000	9168784
16	0.000069	0.000054	80100	80000	50000
17	0.024569	0.019161	10221636	12250000	10201636
17	0.000070	0.000054	80100	80000	50000
18	0.026880	0.020964	11296164	13690000	11276164
18	0.000068	0.000053	80100	80000	50000
19	0.029575	0.023066	12410400	15210000	12390400
19	0.000069	0.000054	80100	80000	50000
20	0.032630	0.025449	13562400	16810000	13542400
20	0.000069	0.000054	80100	80000	50000
21	0.035449	0.027648	14750244	18490000	14730244
21	0.000069	0.000053	80100	80000	50000
22	0.038801	0.030261	15972036	20250000	15952036
22	0.000069	0.000054	80100	80000	50000
23	0.041826	0.032621	17225904	22090000	17205904
23	0.000069	0.000054	80100	80000	50000
24	0.045496	0.035483	18510000	24010000	18490000
24	0.000069	0.000054	80100	80000	50000
25	0.048628	0.037926	19822500	26010000	19802500
25	0.000069	0.000054	80100	80000	50000
26	0.052112	0.040643	21161604	28090000	21141604
26	0.000068	0.000053	80100	80000	50000
27	0.056160	0.043800	22525536	30250000	22505536
27	0.000069	0.000054	80100	80000	50000
28	0.059479	0.046389	23912544	32490000	23892544
28	0.000069	0.000054	80100	80000	50000
29	0.063683	0.049668	25320900	34810000	25300900
29	0.000071	0.000055	80100	80000	50000
30	0.068023	0.053052	26748900	37210000	26728900
30	0.000069	0.000054	80100	80000	50000
31	0.072260	0.056357	28194864	39690000	28174864
31	0.000067	0.000052	80100	80000	50000
32	0.075941	0.059228	29657136	42250000	29637136
32	0.000066	0.000051	80100	80000	50000
33	0.079973	0.062372	31134084	44890000	31114084
33	0.000067	0.000053	80100	80000	50000
34	0.085320	0.066542	32624100	47610000	32604100
34	0.000067	0.000052	80100	80000	50000
35	0.089856	0.070080	34125600	50410000	34105600
35	0.000068	0.000053	80100	80000	50000
36	0.094935	0.074041	35637024	53290000	35617024
36	0.000073	0.000057	80100	80000	50000
37	0.099485	0.077590	37156836	56250000	37136836
37	0.000068	0.000053	80100	80000	50000
38	0.104639	0.081609	38683524	59290000	38663524
38	0.000067	0.000052	80100	80000	50000
39	0.109606	0.085484	40215600	62410000	40195600
39	0.000069	0.000054	80100	80000	50000
40	0.115325	0.089944	41751600	65610000	41731600
40	0.000067	0.000052	80100	80000	50000
41	0.120458	0.093947	43290084	68890000	43270084
41	0.000067	0.000052	80100	80000	50000
42	0.126300	0.098503	44829636	72250000	44809636
42	0.000067	0.000052	80100	80000	50000
43	0.132307	0.103188	46368864	75690000	46348864
43	0.000069	0.000053	80100	80000	50000
44	0.136233	0.106251	47906400	79210000	47886400
44	0.000066	0.000051	80100	80000	50000
45	0.143201	0.111685	49440900	82810000	49420900
45	0.000074	0.000057	80100	80000	50000
46	0.149181	0.116349	50971044	86490000	50951044
46	0.000067	0.000052	80100	80000	50000
47	0.154756	0.120696	52495536	90250000	52475536
47	0.000069	0.000054	80100	80000	50000
48	0.162021	0.126362	54013104	94090000	53993104
48	0.000071	0.000055	80100	80000	50000
49	0.167357	0.130524	55522500	98010000	55502500
49	0.000069	0.000054	80100	80000	50000
50	0.174135	0.135811	57022500	102010000	57002500
50	0.000068	0.000053	80100	80000	50000
51	0.180713	0.140941	58511904	106090000	58491904
51	0.000067	0.000052	80100	80000	50000
52	0.187377	0.146138	59989536	110250000	59969536
52	0.000067	0.000052	80100	80000	50000
53	0.193937	0.151254	61454244	114490000	61434244
53	0.000067	0.000052	80100	80000	50000
54	0.200887	0.156675	62904900	118810000	62884900
54	0.000073	0.000057	80100	80000	50000
55	0.207799	0.162066	64340400	123210000	64320400
55	0.000073	0.000057	80100	80000	50000
56	0.214779	0.167509	65759664	127690000	65739664
56	0.000067	0.000053	80100	80000	50000
57	0.221570	0.172806	67161636	132250000	67141636
57	0.000072	0.000056	80100	80000	50000
58	0.228728	0.178388	68545284	136890000	68525284
58	0.000067	0.000052	80100	80000	50000
59	0.237252	0.185037	69909600	141610000	69889600
59	0.000067	0.000052	80100	80000	50000
60	0.244597	0.190765	71253600	146410000	71233600
60	0.000068	0.000053	80100	80000	50000
61	0.253710	0.197872	72576324	151290000	72556324
61	0.000066	0.000052	80100	80000	50000
62	0.257361	0.200720	73876836	156250000	73856836
62	0.000067	0.000052	80100	80000	50000
63	0.266220	0.207629	75154224	161290000	75134224
63	0.000065	0.000051	80100	80000	50000
64	0.274452	0.214050	76407600	166410000	76387600
64	0.000065	0.000051	80100	80000	50000
65	0.281133	0.219260	77636100	171610000	77616100
65	0.000081	0.000063	80100	80000	50000
66	0.290292	0.226404	78838884	176890000	78818884
66	0.000066	0.000051	80100	80000	50000
67	0.298983	0.233182	80015136	182250000	79995136
67	0.000067	0.000052	80100	80000	50000
68	0.308133	0.240318	81164064	187690000	81144064
68	0.000065	0.000051	80100	80000	50000
69	0.317216	0.247402	82284900	193210000	82264900
